,"Item","Description","Preferred Vendor","U/M","Albertsons Denver Price"
,"GMHP1000-AY","810312-020647 / #20647 HAREM PANTS",,"EACH (EA)",999.00
,"GMHRAL100-AY","810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS",,"EACH (EA)",8
,"GMHSLT100-SS","810312-020593 / #20593 HALF SLEEVE LACE TUNIC",,"EACH (EA)",999.00
,"GMHSSL100-FW","810312-023624 / #23624 HOLIDAY SUPER SOFT LEGGING",,"EACH (EA)",4.2
,"GMKFFM101-AY","810312-023198 / #23198 KIDS FABRIC FACE MASK (72 EA)",,"EACH (EA)",999.00
,"GMKMST100-SS","810312-023136 / #23136 KIMONO SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMKMST200-SS","810312-024607 / #24607 KIMONO SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMKST100-SS","810312-021422 / #21422 KNOT SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMLBC1000-FW","810312-020739 / #20739 LACE BOOT CUFF (COTTON)",,"EACH (EA)",999.00
,"GMLBS1000-FW","810312-020630 / #20630 LACE BOOT SOCKS (COTTON)",,"EACH (EA)",999.00
,"GMLS100-AY","810312-023655 / #23655 LOUNGE SET",,"EACH (EA)",999.00
,"GMLS100-FW","810312-021002 / #21002 LACE SCARF",,"EACH (EA)",999.00
,"GMLSSL100-SS","810312-020814 / #20814 LACE SUPER SOFT LEGGING",,"EACH (EA)",999.00
,"GMLSTT100-FW","810312-021279 / #21279 LONG SLEEVE THERMAL TOP",,"EACH (EA)",999.00
,"GMLTST100-FW","810312-020982 / #20982 LACE TRIM SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMLTT1000-SS","810312-020586 / #20586 LACE TANK TOP",,"EACH (EA)",999.00
,"GMMFBS100-AY","810312-021477 / #21477 MULTIFUNCTN BACK SCRATCHR",,"EACH (EA)",999.00
,"GMMG1000-AY","810312-020531 / #20531 MAGNIFY GLASS - 5X 6-LED",,"EACH (EA)",999.00
,"GMMP11001-SS","094088-102329 / #02329 MINI PLEAT BLOUSES - CAP SLEEVES",,"EACH (EA)",999.00
,"GMMW10000-AY","094088-290149 / #90149 MAGNETIC WAND",,"EACH (EA)",999.00
,"GMND100-AY","810312-023303 / #23303 NIGHT DRESS WITH COZY SOCKS",,"EACH (EA)",999.00
,"GMND200-AY","810312-024034 / #24034 NIGHT DRESS WITH COZY SOCKS",,"EACH (EA)",999.00
,"GMNDGB100-AY","810312-023891 / #23891 NIGHT DRESS WITH GIFT BOX",,"EACH (EA)",999.00
,"GMNSS10-AY","810312-022146 / #22146 NO SHOW SOCKS (5 PK)",,"EACH (EA)",999.00
,"GMOFC100-FW","810312-023877 / #23877 OPEN FRONT CARDIGAN",,"EACH (EA)",999.00
,"GMOSD100-SS","810312-021347 / #21347 OFF SHOULDER DRESS",,"EACH (EA)",999.00
,"GMOSLT1000-FW","810312-020708 / #20708 OPEN SLEEVE LACE TUNIC",,"EACH (EA)",999.00
,"GMP100-AY","810312-022535 / #22535 PASHMINAS",,"EACH (EA)",999.00
,"GMPDJ100-AY","810312-021552 / #21552 PRINTED JEGGING",,"EACH (EA)",9
,"GMPFL1010-FW","810312-020692 / #20692 PRINTED FLEECE LEGGINGS",,"EACH (EA)",3.75
,"GMPJP100-AY","810312-021125 / #21125 JOGGER PANTS - PRINTED",,"EACH (EA)",999.00
,"GMPMD100-SS","810312-020852 / #20852 PLEATED MAXI DRESS",,"EACH (EA)",999.00
,"GMPOS1000-FW","810312-020234 / #20234 PULL OVER SHAWL",,"EACH (EA)",999.00
,"GMPP21-FW","810312-020043 / #20043 PREMIUM PASHMINA SCARF - EA",,"EACH (EA)",999.00
,"GMPPP120-SS","810312-020555 / #20555 PRINTED PALAZZO PANTS",,"EACH (EA)",999.00
,"GMPPP300-FW","810312-023754 / #23754 PRINTED PLUSH PANTS",,"EACH (EA)",7
,"GMPPS100-FW","810312-022603 / #22603 POM-POM SLIPPERS",,"EACH (EA)",999.00
,"GMPPS200-FW","810312-022603 / #PDQ POM-POM SLIPPERS",,"EACH (EA)",999.00
,"GMPPST200-FW","810312-021705 / #21705 PRINTED POCKET SWING TUNIC",,"EACH (EA)",999.00
,"GMPS100-FW","810312-021699 / #21699 PLAID SCARF",,"EACH (EA)",999.00
,"GMPSFL100-FW","810312-023341 / #23341 PRINTED SEAMLESS FLEECE LEGGINGS",,"EACH (EA)",999.00
,"GMPST100-SS","810312-020784 / #20784 PINWHEEL SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMPSV1000-FW","810312-021255 / #21255 SWEATER VEST - PRINTED",,"EACH (EA)",999.00
,"GMRA10210-AY","810312-020333 / #20333 4-WAY RACK",,"EACH (EA)",65
,"GMRA10215-AY","810312-021033 / #21033 ATTACHMENT ARM",,"EACH (EA)",0.00
,"GMRA10216-AY","810312-022627 / #22627 ARM CLIP (AC)",,"EACH (EA)",0.00
,"GMRA10219-AY","810312-021088 / #21088 J-HOOK 10'' (JH)",,"EACH (EA)",0.00
,"GMRA10220-AY","810312-021040 / #21040 PEG HOOK (PH)",,"EACH (EA)",0
,"GMRA10223-AY","810312-022610 / #22610 HOOK CLIP (HC)",,"EACH (EA)",0
,"GMRA10225-AY","810312-021545 / #21545 1-2 WAY RACK",,"EACH (EA)",55
,"GMRBH100-AY","810312-024324 / #024324 REVERSIBLE BUCKET HATS",,"EACH (EA)",999.00
,"GMRH100-AY","810312-020364 / #20364 RHINESTONE HANDBAG",,"EACH (EA)",999.00
,"GMRHMD100-SS","810312-022252 / #22252 ROUND HEM MAXI DRESS",,"EACH (EA)",999.00
,"GMRHMD200-SS","810312-024416 / #24416 ROUND HEM MAXI DRESS",,"EACH (EA)",999.00
,"GMRST1000-SS","810312-020753 / #20753 RUFFLE SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMRTST100-SS","810312-022436 / #22436 ROLL TAB 3-4 SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMRUST200-FW","810312-021729 / #21729 ROLL UP SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMS200-SS","810312-022283 / #22283 SARONG (48 EACH)",,"EACH (EA)",999.00
,"GMSAT100-SS","810312-021194 / #21194 SLIT ACCENT PANTS",,"EACH (EA)",999.00
,"GMSBS100-FW","810312-020517 / #20517 SEQUIN BALLERINA SLIPPERS",,"EACH (EA)",999.00
,"GMSBST100-SS","810312-023433 / #23433 SOLID BACK SLIT TUNIC",,"EACH (EA)",999.00
,"GMSCU100-SS","810312-021439 / #21439 SILKY COVER UP",,"EACH (EA)",999.00
