Item,Description,Preferred Vendor,U/M,Albertsons Intermountain Price,upc,style,display size,season
GMFIS1000-FW,810312-020449 / #20449 FASHION INFINITY SCARF,,EACH (EA),999,8.10312E+11,Printed,Carded,FW
GMFIS1010-FW,810312-020432 / #20432 FRINGE INFINITY SCARF,,EACH (EA),999,8.10312E+11,Solid,Carded,FW
GMFL1000-AY,810312-020494 / #20494 FASHION LANYARD,,EACH (EA),999,8.10312E+11,0,Display Box,AY
GMFL1020-AY,LANYARD DISPLAYER,,EACH (EA),999,LANYARD DISPL,#N/A,#N/A,#N/A
GMFLT100-SS,810312-021187 / #21187 FULL LACE TUNIC,,EACH (EA),7.75,8.10312E+11,Solid,Long Hanging Top,SS
GMFS10030-SS,810312-020258 / #20258 FASHION SUNDRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMFS10040-SS,810312-024300 / #24300 FASHION SUNDRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMFS10050-SS,810312-020562 / #20562 FASH SUNDRESS - SHORT SLV,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMFS10060-SS,810312-020623 / #20623 SURPLICE SUNDRESS,,EACH (EA),5.75,8.10312E+11,Printed,Long Hanging Dress,SS
GMFS10070-SS,810312-020838 / #20838 JUNIORS FASHION SUNDRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMFT1000-AY,810312-020241 / #20241 FUNNY TEEZ,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMFTG100-FW,810312-020500 / #20500 FLIP-TOP GLOVE,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMG100-AY,GOGGLES,,EACH (EA),999,GOGGLES,#N/A,#N/A,#N/A
GMHLCHT100-AY,810312-023068 / #23068 HIGH LOW CURVED HEM TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMHP1000-AY,810312-020647 / #20647 HAREM PANTS,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMHRAL100-AY,810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS,,EACH (EA),8,8.10312E+11,Solid,Carded,AY
GMHSLT100-SS,810312-020593 / #20593 HALF SLEEVE LACE TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMHSSL100-FW,810312-023624 / #23624 HOLIDAY SUPER SOFT LEGGING,,EACH (EA),999,8.10312E+11,Printed,Carded,FW
GMKFFM101-AY,810312-023198 / #23198 KIDS FABRIC FACE MASK (72 EA),,EACH (EA),999,8.10312E+11,0,Carded,AY
GMKMST100-SS,810312-023136 / #23136 KIMONO SLEEVE TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMKMST200-SS,810312-024607 / #24607 KIMONO SLEEVE TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMKST100-SS,810312-021422 / #21422 KNOT SLEEVE TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
GMLBC1000-FW,810312-020739 / #20739 LACE BOOT CUFF (COTTON),,EACH (EA),999,8.10312E+11,0,Carded,FW
GMLBS1000-FW,810312-020630 / #20630 LACE BOOT SOCKS (COTTON),,EACH (EA),999,8.10312E+11,0,Carded,FW
GMLS100-AY,810312-023655 / #23655 LOUNGE SET,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,AY
GMLS100-FW,810312-021002 / #21002 LACE SCARF,,EACH (EA),999,8.10312E+11,Solid,Carded,FW
GMLSSL100-SS,810312-020814 / #20814 LACE SUPER SOFT LEGGING,,EACH (EA),999,8.10312E+11,Solid,Carded,SS
GMLSTT100-FW,810312-021279 / #21279 LONG SLEEVE THERMAL TOP,,EACH (EA),4.75,8.10312E+11,Solid,Carded,FW
GMLTST100-FW,810312-020982 / #20982 LACE TRIM SLEEVE TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
GMLTT1000-SS,810312-020586 / #20586 LACE TANK TOP,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
GMMFBS100-AY,810312-021477 / #21477 MULTIFUNCTN BACK SCRATCHR,,EACH (EA),999,8.10312E+11,0,Display Box,AY
GMMG1000-AY,810312-020531 / #20531 MAGNIFY GLASS - 5X 6-LED,,EACH (EA),999,8.10312E+11,0,Display Box,AY
GMMP11001-SS,094088-102329 / #02329 MINI PLEAT BLOUSES - CAP SLEEVES,,EACH (EA),999,94088102329,#N/A,#N/A,#N/A
GMMW10000-AY,094088-290149 / #90149 MAGNETIC WAND,,EACH (EA),999,94088290149,#N/A,#N/A,#N/A
GMND100-AY,810312-023303 / #23303 NIGHT DRESS WITH COZY SOCKS,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Dress,AY
GMND200-AY,810312-024034 / #24034 NIGHT DRESS WITH COZY SOCKS,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Dress,AY
GMNDGB100-AY,810312-023891 / #23891 NIGHT DRESS WITH GIFT BOX,,EACH (EA),999,8.10312E+11,Solid,Gift Box,AY
GMNSS10-AY,810312-022146 / #22146 NO SHOW SOCKS (5 PK),,EACH (EA),999,8.10312E+11,0,Carded,AY
GMOFC100-FW,810312-023877 / #23877 OPEN FRONT CARDIGAN,,EACH (EA),999,8.10312E+11,0,Long Hanging Top,FW
