,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"ALBERTSONS SAFEWAY",,,,,,,,,,,""
"JEWEL OSCO",,,,,,,,,,,""
,"Invoice","10/04/2022","522789","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL202","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.00,16.00,192.00
"Total JEWEL202",,,,,,,48,,,192.00,192.00
"JEWEL2313",,,,,,,,,,,""
,"Invoice","11/01/2022","527193","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2313","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","11/01/2022","527193","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2313","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
,"Invoice","11/01/2022","527193","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2313","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,420.00
"Total JEWEL2313",,,,,,,40,,,420.00,420.00
"JEWEL2346",,,,,,,,,,,""
,"Invoice","10/17/2022","524031","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2346","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","10/17/2022","524031","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2346","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
,"Invoice","10/17/2022","524031","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2346","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,420.00
"Total JEWEL2346",,,,,,,40,,,420.00,420.00
"JEWEL2488",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523899","810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","GMSFL1010-FW (810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS)",-3,,3.75,-11.25,-11.25
,"Credit Memo","10/16/2022","523899","810312-020463 / #20463 PRINT SUPER SOFT LEGGING","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","GMSSL1010-AY (810312-020463 / #20463 PRINT SUPER SOFT LEGGING)",-29,,3.75,-108.75,-120.00
,"Credit Memo","10/16/2022","523899","810312-021118 / #21118 DENIM JEGGING-SOLID","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","GMDJ100-AY (810312-021118 / #21118 DENIM JEGGING-SOLID)",-6,,7.75,-46.50,-166.50
,"Credit Memo","10/16/2022","523899","810312-021552 / #21552 PRINTED JEGGING S-M (P5232)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","LIPDJ201-AY (810312-021552 / #21552 PRINTED JEGGING S-M (P5232))",-8,,9.50,-76.00,-242.50
,"Credit Memo","10/16/2022","523899","810312-023051 / #23051 SOLID DENIM JEGGING S-M (J5153)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","LISDJ101-AY (810312-023051 / #23051 SOLID DENIM JEGGING S-M (J5153))",-6,,8.80,-52.80,-295.30
,"Credit Memo","10/16/2022","523899","810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","GMSFL1010-FW (810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS)",-27,,3.75,-101.25,-396.55
,"Credit Memo","10/16/2022","523899","810312-020463 / #20463 PRINT SUPER SOFT LEGGING","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","GMSSL1010-AY (810312-020463 / #20463 PRINT SUPER SOFT LEGGING)",-17,,3.75,-63.75,-460.30
,"Credit Memo","10/16/2022","523899","810312-020654 / #20654 SOLID SUPER SOFT LEGGING","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","GMSSL1020-AY (810312-020654 / #20654 SOLID SUPER SOFT LEGGING)",-3,,3.75,-11.25,-471.55
,"Invoice","10/17/2022","524030","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,-335.05
,"Invoice","10/17/2022","524030","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,-93.55
,"Invoice","10/17/2022","524030","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,-51.55
,"Invoice","10/24/2022","524531","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,16.45
,"Invoice","10/24/2022","524531","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,124.45
,"Invoice","10/24/2022","524531","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2488","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,140.45
"Total JEWEL2488",,,,,,,-11,,,140.45,140.45
"JEWEL2504",,,,,,,,,,,""
,"Invoice","10/24/2022","524532","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2504","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,68.00
,"Invoice","10/24/2022","524532","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2504","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,176.00
,"Invoice","10/24/2022","524532","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2504","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,192.00
"Total JEWEL2504",,,,,,,48,,,192.00,192.00
"JEWEL2702",,,,,,,,,,,""
,"Invoice","10/24/2022","524529","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2702","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,68.00
,"Invoice","10/24/2022","524529","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2702","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,176.00
,"Invoice","10/24/2022","524529","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL2702","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,192.00
"Total JEWEL2702",,,,,,,48,,,192.00,192.00
"JEWEL283",,,,,,,,,,,""
,"Invoice","10/04/2022","522786","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL283","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,68.00
,"Invoice","10/04/2022","522786","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL283","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,176.00
,"Invoice","10/04/2022","522786","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL283","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,192.00
"Total JEWEL283",,,,,,,48,,,192.00,192.00
"JEWEL3003",,,,,,,,,,,""
,"Invoice","10/24/2022","524530","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3003","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,68.00
,"Invoice","10/24/2022","524530","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3003","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,176.00
,"Invoice","10/24/2022","524530","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3003","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,192.00
"Total JEWEL3003",,,,,,,48,,,192.00,192.00
"JEWEL3051",,,,,,,,,,,""
,"Invoice","11/01/2022","527199","810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3051","GMHRAL100-AY (810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS)",48,"EA",8.00,384.00,384.00
"Total JEWEL3051",,,,,,,48,,,384.00,384.00
"JEWEL3061",,,,,,,,,,,""
,"Invoice","10/17/2022","524037","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3061","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.00,68.00,68.00
,"Invoice","10/17/2022","524037","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3061","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.00,108.00,176.00
,"Invoice","10/17/2022","524037","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3061","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.00,16.00,192.00
"Total JEWEL3061",,,,,,,48,,,192.00,192.00
"JEWEL3096",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523900","810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3096","GMSFL1010-FW (810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS)",-19,,3.75,-71.25,-71.25
,"Credit Memo","10/16/2022","523900","810312-020463 / #20463 PRINT SUPER SOFT LEGGING","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3096","GMSSL1010-AY (810312-020463 / #20463 PRINT SUPER SOFT LEGGING)",-1,,3.75,-3.75,-75.00
