,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"ALBERTSONS SAFEWAY",,,,,,,,,,,""
"ALBERTSONS DENVER",,,,,,,,,,,""
,"Invoice","11/02/2022","527270","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV244","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,798.00
,"Invoice","11/02/2022","527270","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV244","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,840.00
,"Invoice","11/02/2022","527270","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV244","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,908.00
,"Invoice","11/02/2022","527270","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV244","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,1016.00
,"Invoice","11/02/2022","527270","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV244","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,1032.00
,"Invoice","11/02/2022","527270","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV244","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.00,68.00,1100.00
,"Invoice","11/02/2022","527270","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV244","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.00,108.00,1208.00
,"Invoice","11/02/2022","527270","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV244","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.00,16.00,1224.00
"Total ALBDV244",,,,,,,176,,,1224.00,1224.00
"ALBDV2722",,,,,,,,,,,""
,"Invoice","10/17/2022","524043","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2722","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,68.00
,"Invoice","10/17/2022","524043","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2722","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,176.00
,"Invoice","10/17/2022","524043","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2722","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,192.00
"Total ALBDV2722",,,,,,,48,,,192.00,192.00
"ALBDV2810",,,,,,,,,,,""
,"Invoice","10/24/2022","524520","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2810","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.00,68.00,68.00
,"Invoice","10/24/2022","524520","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2810","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.00,108.00,176.00
,"Invoice","10/24/2022","524520","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2810","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.00,16.00,192.00
,"Invoice","10/24/2022","524520","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2810","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,328.50
,"Invoice","10/24/2022","524520","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2810","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,570.00
,"Invoice","10/24/2022","524520","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2810","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,612.00
"Total ALBDV2810",,,,,,,88,,,612.00,612.00
"ALBDV2839",,,,,,,,,,,""
,"Invoice","11/10/2022","528279","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2839","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","11/10/2022","528279","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2839","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
,"Invoice","11/10/2022","528279","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2839","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,420.00
"Total ALBDV2839",,,,,,,40,,,420.00,420.00
"ALBDV2918",,,,,,,,,,,""
,"Invoice","10/24/2022","524415","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2918","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","10/24/2022","524415","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2918","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
,"Invoice","10/24/2022","524415","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV2918","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,420.00
"Total ALBDV2918",,,,,,,40,,,420.00,420.00
"ALBDV3727",,,,,,,,,,,""
,"Invoice","10/25/2022","524678","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3727","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.00,68.00,68.00
,"Invoice","10/25/2022","524678","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3727","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.00,108.00,176.00
,"Invoice","10/25/2022","524678","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3727","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.00,16.00,192.00
,"Invoice","10/25/2022","524678","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3727","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,328.50
,"Invoice","10/25/2022","524678","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3727","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,570.00
,"Invoice","10/25/2022","524678","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3727","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,612.00
"Total ALBDV3727",,,,,,,88,,,612.00,612.00
"ALBDV3728",,,,,,,,,,,""
,"Invoice","10/07/2022","523283","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3728","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,68.00
,"Invoice","10/07/2022","523283","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3728","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,176.00
,"Invoice","10/07/2022","523283","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3728","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,192.00
,"Invoice","10/07/2022","523283","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3728","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.00,68.00,260.00
,"Invoice","10/07/2022","523283","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3728","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.00,108.00,368.00
,"Invoice","10/07/2022","523283","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV3728","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.00,16.00,384.00
"Total ALBDV3728",,,,,,,96,,,384.00,384.00
"ALBDV557",,,,,,,,,,,""
,"Invoice","11/10/2022","528278","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:ALBERTSONS DENVER:ALBDV557","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,68.00
