,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"ALBERTSONS SAFEWAY",,,,,,,,,,,""
"INTERMOUNTAIN DIVISION",,,,,,,,,,,""
,"Invoice","10/10/2022","523319","810312-023853/ #23853 PRINTED JEGGING L-XL (J4660)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1131","LIPDJ302-AY (810312-023853/ #23853 PRINTED JEGGING L-XL (J4660))",23,"EA",10.50,241.50,1210.80
,"Invoice","10/10/2022","523319","810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1131","LIPDJ303-AY (810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660))",4,"EA",10.50,42.00,1252.80
"Total ALBIM1131",,,,,,,176,,,1252.80,1252.80
"ALBIM1158 (LEGGINGS JEGGINGS ONLY)",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523891","810312-021668 / #21668 TEXTURED FLEECE LEGGINGS","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1158 (LEGGINGS JEGGINGS ONLY)","GMTFL100-FW (810312-021668 / #21668 TEXTURED FLEECE LEGGINGS)",-36,,3.75,-135.00,-135.00
"Total ALBIM1158 (LEGGINGS JEGGINGS ONLY)",,,,,,,-36,,,-135.00,-135.00
"ALBIM126",,,,,,,,,,,""
,"Invoice","10/14/2022","523852","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM126","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,73.10
,"Invoice","10/14/2022","523852","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM126","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,189.20
,"Invoice","10/14/2022","523852","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM126","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,206.40
"Total ALBIM126",,,,,,,48,,,206.40,206.40
"ALBIM130",,,,,,,,,,,""
,"Invoice","10/14/2022","523855","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM130","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,73.10
,"Invoice","10/14/2022","523855","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM130","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,189.20
,"Invoice","10/14/2022","523855","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM130","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,206.40
"Total ALBIM130",,,,,,,48,,,206.40,206.40
"ALBIM138",,,,,,,,,,,""
,"Invoice","11/01/2022","527135","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM138","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,73.10
,"Invoice","11/01/2022","527135","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM138","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,189.20
,"Invoice","11/01/2022","527135","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM138","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,206.40
"Total ALBIM138",,,,,,,48,,,206.40,206.40
"ALBIM1581",,,,,,,,,,,""
,"Invoice","10/14/2022","523848","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1581","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/14/2022","523848","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1581","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/14/2022","523848","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1581","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total ALBIM1581",,,,,,,48,,,206.40,206.40
"ALBIM1602",,,,,,,,,,,""
,"Invoice","10/10/2022","523318","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1602","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/10/2022","523318","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1602","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/10/2022","523318","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1602","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
,"Invoice","10/10/2022","523318","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1602","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,279.50
,"Invoice","10/10/2022","523318","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1602","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,395.60
,"Invoice","10/10/2022","523318","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1602","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,412.80
,"Invoice","10/10/2022","523318","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1602","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,549.30
