,"On Hand","U/M","Avg Cost","Asset Value","% of Tot Asset","Sales Price","Retail Value","% of Tot Retail"
"GMFS10040-SS (810312-024300 / #24300 FASHION SUNDRESS)",0,"EA",3.35,0.00,0%,999.00,0.00,0%
"GMFS10050-SS (810312-020562 / #20562 FASH SUNDRESS - SHORT SLV)",0,"EA",2.50,0.00,0%,999.00,0.00,0%
"GMFS10060-SS (810312-020623 / #20623 SURPLICE SUNDRESS)",0,"EA",2.65,0.00,0%,999.00,0.00,0%
"GMFS10070-SS (810312-020838 / #20838 JUNIORS FASHION SUNDRESS)",0,"EA",1.57,0.00,0%,999.00,0.00,0%
"GMFT1000-AY (810312-020241 / #20241 FUNNY TEEZ)",5636,"EA",1.49,8403.45,0.1%,999.00,5630364.00,0.1%
"GMFTG100-FW (810312-020500 / #20500 FLIP-TOP GLOVE)",2624,"EA",1.56,4086.25,0%,999.00,2621376.00,0.1%
"GMG100-AY (GOGGLES)",2000,"EA",2.20,4409.00,0%,999.00,1998000.00,0%
"GMHLCHT100-AY (810312-023068 / #23068 HIGH LOW CURVED HEM TUNIC)",0,"EA",3.95,0.00,0%,999.00,0.00,0%
"GMHP1000-AY (810312-020647 / #20647 HAREM PANTS)",0,"EA",0.00,0.00,0%,999.00,0.00,0%
"GMHRAL100-AY (810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS)",89568,"EA",4.88,436998.06,3%,999.00,89478432.00,1.7%
"GMHSLT100-SS (810312-020593 / #20593 HALF SLEEVE LACE TUNIC)",0,"EA",2.68,0.00,0%,999.00,0.00,0%
"GMHSSL100-FW (810312-023624 / #23624 (48 EA) HOLIDAY SUPER SOFT LEGGING)",288,"EA",1.68,483.67,0%,999.00,287712.00,0%
"GMHSSL200-FW (810312-023624 / #23624  (36 EA) HOLIDAY SUPER SOFT LEGGING)",2448,"EA",1.72,4199.98,0%,999.00,2445552.00,0%
"GMKFFM101-AY (810312-023198 / #23198 KIDS FABRIC FACE MASK (72 EA))",0,"EA",0.58,0.00,0%,999.00,0.00,0%
"GMKMST100-SS (810312-023136 / #23136 KIMONO SLEEVE TUNIC)",0,"EA",3.28,0.00,0%,999.00,0.00,0%
"GMKMST200-SS (810312-024607 / #24607 KIMONO SLEEVE TUNIC)",33948,"EA",4.09,138822.40,1%,999.00,33914052.00,0.7%
"GMKST100-SS (810312-021422 / #21422 KNOT SLEEVE TUNIC)",0,"EA",3.05,0.00,0%,999.00,0.00,0%
"GMKTSS100-FW (810312-024850 / #24850 2PC KNITTED TUNIC & SHORTS SET)",10680,"EA",0.00,0.00,0%,999.00,10669320.00,0.2%
"GMLBC1000-FW (810312-020739 / #20739 LACE BOOT CUFF (COTTON))",15768,"EA",1.64,25923.13,0.2%,999.00,15752232.00,0.3%
"GMLBS1000-FW (810312-020630 / #20630 LACE BOOT SOCKS (COTTON))",3960,"EA",1.88,7449.82,0.1%,999.00,3956040.00,0.1%
"GMLS100-AY (810312-023655 / #23655 LOUNGE SET)",24,"EA",7.52,179.54,0%,999.00,23976.00,0%
"GMLS100-FW (810312-021002 / #21002 LACE SCARF)",36048,"EA",2.18,78527.98,0.5%,999.00,36011952.00,0.7%
"GMLSSL100-SS (810312-020814 / #20814 LACE SUPER SOFT LEGGING)",48,"EA",1.80,86.50,0%,999.00,47952.00,0%
"GMLSTT100-FW (810312-021279 / #21279 LONG SLEEVE THERMAL TOP)",48,"EA",2.33,111.62,0%,999.00,47952.00,0%
"GMLTST100-FW (810312-020982 / #20982 LACE TRIM SLEEVE TUNIC)",0,"EA",2.70,0.00,0%,999.00,0.00,0%
"GMLTT1000-SS (810312-020586 / #20586 LACE TANK TOP)",0,"EA",2.36,0.00,0%,999.00,0.00,0%
"GMMFBS100-AY (810312-021477 / #21477 MULTIFUNCTN BACK SCRATCHR)",0,"EA",1.07,0.00,0%,999.00,0.00,0%
"GMND100-AY (810312-023303 / #23303 NIGHT DRESS WITH COZY SOCKS)",24,"EA",4.65,110.43,0%,999.00,23976.00,0%
"GMND200-AY (810312-024034 / #24034 NIGHT DRESS WITH COZY SOCKS)",28704,"EA",6.39,183349.07,1.3%,999.00,28675296.00,0.6%
"GMNDGB100-AY (810312-023891 / #23891 NIGHT DRESS WITH GIFT BOX)",20,"EA",7.35,147.01,0%,999.00,19980.00,0%
"GMNSS10-AY (810312-022146 / #22146 NO SHOW SOCKS (5 PK))",0,"EA",1.43,0.00,0%,999.00,0.00,0%
"GMOFC100-FW (810312-023877 / #23877 OPEN FRONT CARDIGAN)",6297,"EA",6.41,40353.98,0.3%,999.00,6290703.00,0.1%
"GMOSD100-SS (810312-021347 / #21347 OFF SHOULDER DRESS)",936,"EA",3.82,3571.69,0%,999.00,935064.00,0%
"GMOSLT1000-FW (810312-020708 / #20708 OPEN SLEEVE LACE TUNIC)",324,"EA",3.40,1102.91,0%,999.00,323676.00,0%
"GMP100-AY (810312-022535 / #22535 PASHMINAS)",0,"EA",1.93,0.00,0%,999.00,0.00,0%
"GMPDJ100-AY (810312-021552 / #21552 PRINTED JEGGING)",0,"EA",5.57,0.00,0%,999.00,0.00,0%
"GMPFL1010-FW (810312-020692 / #20692 PRINTED FLEECE LEGGINGS)",25381,"EA",2.47,62784.53,0.4%,999.00,25355619.00,0.5%
"GMPJP100-AY (810312-021125 / #21125 JOGGER PANTS - PRINTED)",0,"EA",3.04,0.00,0%,999.00,0.00,0%
"GMPKH100-FW (810312-024980 / #24980 PRINTED KNITTED HOODIE)",14460,"EA",0.00,0.00,0%,999.00,14445540.00,0.3%
"GMPMD100-SS (810312-020852 / #20852 PLEATED MAXI DRESS)",0,"EA",2.97,0.00,0%,999.00,0.00,0%
"GMPOS1000-FW (810312-020234 / #20234 PULL OVER SHAWL)",1908,"EA",3.21,6129.71,0%,999.00,1906092.00,0%
"GMPP21-FW (810312-020043 / #20043 PREMIUM PASHMINA SCARF - EA)",0,"EA",-0.00,0.00,0%,999.00,0.00,0%
"GMPPP120-SS (810312-020555 / #20555 PRINTED PALAZZO PANTS)",0,"EA",2.56,0.00,0%,999.00,0.00,0%
"GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",55008,"EA",4.23,232950.12,1.6%,999.00,54952992.00,1.1%
"GMPPS100-FW (810312-022603 / #22603 POM-POM SLIPPERS)",0,"EA",1.90,0.00,0%,999.00,0.00,0%
"GMPPS200-FW (810312-022603 / #PDQ POM-POM SLIPPERS)",0,"EA",2.50,0.00,0%,999.00,0.00,0%
"GMPPST200-FW (810312-021705 / #21705 PRINTED POCKET SWING TUNIC)",0,"EA",4.48,0.00,0%,999.00,0.00,0%
"GMPRKL100-AY (810312-024225 / #24225 PRINTED RIBBED KNIT LEGGINGS)",12819,"EA",4.99,63945.03,0.4%,999.00,12806181.00,0.2%
"GMPS100-FW (810312-021699 / #21699 PLAID SCARF)",192,"EA",2.40,462.27,0%,999.00,191808.00,0%
"GMPSFL100-FW (810312-023341 / #23341 PRINTED SEAMLESS FLEECE LEGGINGS)",23148,"EA",2.58,59646.04,0.4%,999.00,23124852.00,0.4%
"GMPST100-SS (810312-020784 / #20784 PINWHEEL SLEEVE TUNIC)",0,"EA",2.66,0.00,0%,999.00,0.00,0%
"GMPSV1000-FW (810312-021255 / #21255 SWEATER VEST - PRINTED)",16488,"EA",4.34,71531.36,0.5%,999.00,16471512.00,0.3%
"GMRA10210-AY (810312-020333 / #20333 4-WAY RACK WITH ARMS)",403,"EA",72.28,29129.60,0.2%,999.00,402597.00,0%
"GMRA10215-AY (810312-021033 / #21033 ATTACHMENT ARM)",7796,"EA",2.01,15660.46,0.1%,0.00,0.00,0%
"GMRA10216-AY (810312-022627 / #22627 ARM CLIP (AC))",11858,"EA",0.08,968.36,0%,0.00,0.00,0%
"GMRA10219-AY (810312-021088 / #21088 J-HOOK 10'' (JH))",4816,"EA",0.50,2418.06,0%,0.00,0.00,0%
"GMRA10220-AY (810312-021040 / #21040 PEG HOOK (PH))",3762,"EA",0.93,3513.76,0%,0.00,0.00,0%
"GMRA10223-AY (810312-022610 / #22610 HOOK CLIP (HC))",3721,"EA",0.15,560.86,0%,0.00,0.00,0%
"GMRA10225-AY (810312-021545 / #21545 1-2 WAY RACK)",723,"EA",39.95,28879.11,0.2%,999.00,722277.00,0%
"GMRBH100-AY (810312-024324 / #24324 REVERSIBLE BUCKET HATS)",16368,"EA",2.30,37589.47,0.3%,999.00,16351632.00,0.3%
"GMRHMD100-SS (810312-022252 / #22252 ROUND HEM MAXI DRESS)",108,"EA",3.81,412.00,0%,999.00,107892.00,0%
"GMRHMD200-SS (810312-024416 / #24416 ROUND HEM MAXI DRESS)",11592,"EA",4.55,52737.41,0.4%,999.00,11580408.00,0.2%
"GMRST1000-SS (810312-020753 / #20753 RUFFLE SLEEVE TUNIC)",36,"EA",2.91,104.63,0%,999.00,35964.00,0%
"GMRTST100-SS (810312-022436 / #22436 ROLL TAB 3-4 SLEEVE TUNIC)",2808,"EA",3.96,11125.30,0.1%,999.00,2805192.00,0.1%
"GMRUST200-FW (810312-021729 / #21729 ROLL UP SLEEVE TUNIC)",0,"EA",4.47,0.00,0%,999.00,0.00,0%
"GMS200-SS (810312-022283 / #22283 SARONG (48 EACH))",33811,"EA",3.39,114649.10,0.8%,999.00,33777189.00,0.7%
"GMSAT100-SS (810312-021194 / #21194 SLIT ACCENT PANTS)",0,"EA",2.76,0.00,0%,999.00,0.00,0%
"GMSBS100-FW (810312-020517 / #20517 SEQUIN BALLERINA SLIPPERS)",150,"EA",1.50,224.08,0%,999.00,149850.00,0%
"GMSBST100-SS (810312-023433 / #23433 SOLID BACK SLIT TUNIC)",0,"EA",4.73,0.00,0%,999.00,0.00,0%
"GMSCU100-SS (810312-021439 / #21439 SILKY COVER UP)",27180,"EA",4.24,115116.77,0.8%,999.00,27152820.00,0.5%
"GMSCU200-SS (810312-024423 / #24423 SILKY COVER UP)",21925,"EA",5.45,119494.01,0.8%,999.00,21903075.00,0.4%
"GMSCYP100-AY (810312-023501 / #23501 SOLID COTTON YOGA PANTS)",84804,"EA",5.26,445751.40,3.1%,999.00,84719196.00,1.6%
"GMSFL1010-FW (810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS)",108672,"EA",1.94,210501.13,1.5%,999.00,108563328.00,2.1%
"GMSFTL100-FW (810312-024072 / #24072 SEAMLESS FRENCH TERRY LEGGINGS)",4512,"EA",2.87,12944.46,0.1%,999.00,4507488.00,0.1%
