,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
,"Invoice","11/07/2022","527967","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS117","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,1046.40
"Total KROKS117",,,,,,,128,,,1046.40,1046.40
"KROKS125",,,,,,,,,,,""
,"Invoice","10/24/2022","524508","810312-023846 / #23846 PRINTED JEGGING S-M (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS125","LIPDJ301-AY (810312-023846 / #23846 PRINTED JEGGING S-M (J4660))",13,"EA",10.50,136.50,136.50
,"Invoice","10/24/2022","524508","810312-023853/ #23853 PRINTED JEGGING L-XL (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS125","LIPDJ302-AY (810312-023853/ #23853 PRINTED JEGGING L-XL (J4660))",23,"EA",10.50,241.50,378.00
,"Invoice","10/24/2022","524508","810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS125","LIPDJ303-AY (810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660))",4,"EA",10.50,42.00,420.00
,"Invoice","11/07/2022","527970","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS125","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,493.10
,"Invoice","11/07/2022","527970","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS125","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,609.20
,"Invoice","11/07/2022","527970","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS125","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,626.40
"Total KROKS125",,,,,,,88,,,626.40,626.40
"KROKS126",,,,,,,,,,,""
,"Invoice","10/24/2022","524507","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS126","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,73.10
,"Invoice","10/24/2022","524507","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS126","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,189.20
,"Invoice","10/24/2022","524507","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS126","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,206.40
"Total KROKS126",,,,,,,48,,,206.40,206.40
"KROKS129",,,,,,,,,,,""
,"Invoice","10/17/2022","523979","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS129","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","10/17/2022","523979","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS129","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
,"Invoice","10/17/2022","523979","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS129","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,420.00
"Total KROKS129",,,,,,,40,,,420.00,420.00
"KROKS134",,,,,,,,,,,""
,"Invoice","10/10/2022","523349","810312-023846 / #23846 PRINTED JEGGING S-M (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS134","LIPDJ301-AY (810312-023846 / #23846 PRINTED JEGGING S-M (J4660))",13,"EA",10.50,136.50,136.50
,"Invoice","10/10/2022","523349","810312-023853/ #23853 PRINTED JEGGING L-XL (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS134","LIPDJ302-AY (810312-023853/ #23853 PRINTED JEGGING L-XL (J4660))",23,"EA",10.50,241.50,378.00
,"Invoice","10/10/2022","523349","810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS134","LIPDJ303-AY (810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660))",4,"EA",10.50,42.00,420.00
,"Invoice","11/01/2022","527083","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS134","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,493.10
,"Invoice","11/01/2022","527083","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS134","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,609.20
,"Invoice","11/01/2022","527083","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS134","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,626.40
"Total KROKS134",,,,,,,88,,,626.40,626.40
"KROKS136",,,,,,,,,,,""
,"Invoice","10/17/2022","523982","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS136","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/17/2022","523982","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS136","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/17/2022","523982","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS136","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
,"Invoice","11/01/2022","527082","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS136","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,342.90
,"Invoice","11/01/2022","527082","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS136","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,584.40
,"Invoice","11/01/2022","527082","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS136","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,626.40
"Total KROKS136",,,,,,,88,,,626.40,626.40
"KROKS137",,,,,,,,,,,""
,"Invoice","10/17/2022","523981","810312-023846 / #23846 PRINTED JEGGING S-M (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS137","LIPDJ301-AY (810312-023846 / #23846 PRINTED JEGGING S-M (J4660))",13,"EA",10.50,136.50,136.50
,"Invoice","10/17/2022","523981","810312-023853/ #23853 PRINTED JEGGING L-XL (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS137","LIPDJ302-AY (810312-023853/ #23853 PRINTED JEGGING L-XL (J4660))",23,"EA",10.50,241.50,378.00
,"Invoice","10/17/2022","523981","810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS137","LIPDJ303-AY (810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660))",4,"EA",10.50,42.00,420.00
"Total KROKS137",,,,,,,40,,,420.00,420.00
"KROKS99",,,,,,,,,,,""
,"Invoice","10/03/2022","522657","810312-023846 / #23846 PRINTED JEGGING S-M (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS99","LIPDJ301-AY (810312-023846 / #23846 PRINTED JEGGING S-M (J4660))",13,"EA",10.50,136.50,136.50
,"Invoice","10/03/2022","522657","810312-023853/ #23853 PRINTED JEGGING L-XL (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS99","LIPDJ302-AY (810312-023853/ #23853 PRINTED JEGGING L-XL (J4660))",23,"EA",10.50,241.50,378.00
,"Invoice","10/03/2022","522657","810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS99","LIPDJ303-AY (810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660))",4,"EA",10.50,42.00,420.00
,"Invoice","10/17/2022","523980","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS99","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,493.10
,"Invoice","10/17/2022","523980","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS99","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,609.20
,"Invoice","10/17/2022","523980","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS99","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,626.40
,"Invoice","11/07/2022","527966","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS99","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,762.90
,"Invoice","11/07/2022","527966","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS99","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,1004.40
,"Invoice","11/07/2022","527966","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KROGER CORPORATE:KROGER KING SOOPERS:KROKS99","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,1046.40
"Total KROKS99",,,,,,,128,,,1046.40,1046.40
"Total KROGER KING SOOPERS",,,,,,,824,,,6271.20,6271.20
"Total KROGER CORPORATE",,,,,,,824,,,6271.20,6271.20
"TOTAL",,,,,,,824,,,6271.20,6271.20
