,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
,"Credit Memo","10/16/2022","523926","810312-022658 / #22658 SOLID POCKET SWING TUNIC L-XL (T1258)","FRESH ENCOUNTER, INC.:FRE330 (EI)","LISPST102-FW (810312-022658 / #22658 SOLID POCKET SWING TUNIC L-XL (T1258))",-11,,8.00,-88.00,-456.00
,"Invoice","11/01/2022","527146","810312-023754 / #23754 PRINTED PLUSH PANTS","FRESH ENCOUNTER, INC.:FRE330 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,-204.00
"Total FRE330 (EI)",,,,,,,-21,,,-204.00,-204.00
"FRE340 (EI)",,,,,,,,,,,""
,"Invoice","11/01/2022","527143","810312-023754 / #23754 PRINTED PLUSH PANTS","FRESH ENCOUNTER, INC.:FRE340 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
"Total FRE340 (EI)",,,,,,,36,,,252.00,252.00
"FRE604 (EI)",,,,,,,,,,,""
,"Invoice","11/01/2022","527154","810312-023754 / #23754 PRINTED PLUSH PANTS","FRESH ENCOUNTER, INC.:FRE604 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
"Total FRE604 (EI)",,,,,,,36,,,252.00,252.00
"FRE607 (EI)",,,,,,,,,,,""
,"Invoice","11/01/2022","527138","810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259)","FRESH ENCOUNTER, INC.:FRE607 (EI)","LIPHHT101-FW (810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259))",32,"EA",8.00,256.00,256.00
,"Invoice","11/01/2022","527138","810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259)","FRESH ENCOUNTER, INC.:FRE607 (EI)","LIPHHT102-FW (810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259))",4,"EA",8.00,32.00,288.00
,"Invoice","11/10/2022","528276","810312-023754 / #23754 PRINTED PLUSH PANTS","FRESH ENCOUNTER, INC.:FRE607 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,540.00
"Total FRE607 (EI)",,,,,,,72,,,540.00,540.00
"FRE608 (EI)",,,,,,,,,,,""
,"Invoice","11/01/2022","527147","810312-023754 / #23754 PRINTED PLUSH PANTS","FRESH ENCOUNTER, INC.:FRE608 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
"Total FRE608 (EI)",,,,,,,36,,,252.00,252.00
"FRE610 (EI)",,,,,,,,,,,""
