,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"Total KVAT230 (EI)",,,,,,,54,,,216.00,216.00
"KVAT233 (EI)",,,,,,,,,,,""
,"Invoice","10/10/2022","523328","810312-023501 / #23501 SOLID COTTON YOGA PANTS","KVAT FOOD STORES:KVAT233 (EI)","GMSCYP100-AY (810312-023501 / #23501 SOLID COTTON YOGA PANTS)",36,"EA",8.00,288.00,288.00
,"Invoice","10/10/2022","523328","FREIGHT","KVAT FOOD STORES:KVAT233 (EI)","C 1 (FREIGHT)",1,,288.00,288.00,576.00
,"Invoice","10/17/2022","524059","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT233 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,828.00
"Total KVAT233 (EI)",,,,,,,73,,,828.00,828.00
"KVAT2446 (EI)",,,,,,,,,,,""
,"Invoice","10/17/2022","524129","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT2446 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
,"Invoice","11/01/2022","527158","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KVAT FOOD STORES:KVAT2446 (EI)","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,388.50
,"Invoice","11/01/2022","527158","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KVAT FOOD STORES:KVAT2446 (EI)","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,630.00
,"Invoice","11/01/2022","527158","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KVAT FOOD STORES:KVAT2446 (EI)","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,672.00
"Total KVAT2446 (EI)",,,,,,,76,,,672.00,672.00
"KVAT249 (EI)",,,,,,,,,,,""
,"Invoice","10/17/2022","524060","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT249 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
,"Invoice","10/24/2022","524430","810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633)","KVAT FOOD STORES:KVAT249 (EI)","LISBT201-FW (810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633))",14,"EA",9.00,126.00,378.00
,"Invoice","10/24/2022","524430","810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633)","KVAT FOOD STORES:KVAT249 (EI)","LISBT202-FW (810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633))",22,"EA",9.00,198.00,576.00
,"Invoice","11/07/2022","527994","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT249 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,828.00
"Total KVAT249 (EI)",,,,,,,108,,,828.00,828.00
"KVAT252 (EI)",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523931","810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS","KVAT FOOD STORES:KVAT252 (EI)","GMSFL1010-FW (810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS)",-5,,3.75,-18.75,-18.75
,"Credit Memo","10/16/2022","523931","810312-020654 / #20654 SOLID SUPER SOFT LEGGING","KVAT FOOD STORES:KVAT252 (EI)","GMSSL1020-AY (810312-020654 / #20654 SOLID SUPER SOFT LEGGING)",-3,,3.75,-11.25,-30.00
,"Credit Memo","10/16/2022","523931","810312-020692 / #20692 PRINTED FLEECE LEGGINGS","KVAT FOOD STORES:KVAT252 (EI)","GMPFL1010-FW (810312-020692 / #20692 PRINTED FLEECE LEGGINGS)",-20,,3.75,-75.00,-105.00
,"Credit Memo","10/16/2022","523931","810312-022641 / #22641 PRINTED POCKET SWING TUNIC L-XL (T0541)","KVAT FOOD STORES:KVAT252 (EI)","LIPPST102-FW (810312-022641 / #22641 PRINTED POCKET SWING TUNIC L-XL (T0541))",-1,,7.50,-7.50,-112.50
"Total KVAT252 (EI)",,,,,,,-29,,,-112.50,-112.50
"KVAT2843 (EI)",,,,,,,,,,,""
,"Invoice","10/17/2022","524125","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT2843 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
,"Invoice","11/07/2022","527980","810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633)","KVAT FOOD STORES:KVAT2843 (EI)","LISBT201-FW (810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633))",14,"EA",9.00,126.00,378.00
